Fecha,Sin indexar,Indexadas,Impresiones
2026-03-29,,,0
2026-03-30,,,0
2026-03-31,1,2,1
2026-04-01,1,2,0
2026-04-02,1,2,0
2026-04-03,1,2,0
2026-04-04,1,2,0
2026-04-05,1,2,0
2026-04-06,1,2,0
2026-04-07,1,2,0
2026-04-08,1,2,1
2026-04-09,1,2,3
2026-04-10,1,2,0
2026-04-11,1,2,0
2026-04-12,1,2,0
2026-04-13,1,2,0
2026-04-14,2,2,0
2026-04-15,2,2,0
2026-04-16,2,2,0
2026-04-17,2,2,0
2026-04-18,2,2,0
2026-04-19,2,2,0
2026-04-20,2,2,0
2026-04-21,4,6,2
2026-04-22,4,6,0
2026-04-23,4,6,0
2026-04-24,4,6,0
2026-04-25,4,6,0
2026-04-26,4,6,0
2026-04-27,4,6,0
2026-04-28,4,6,0
2026-04-29,4,6,0
2026-04-30,4,6,0
2026-05-01,4,6,0
2026-05-02,4,6,0
2026-05-03,4,6,0
2026-05-04,4,6,0
2026-05-05,4,6,0
2026-05-06,4,6,0
2026-05-07,4,6,0
2026-05-08,4,6,1
2026-05-09,4,7,0
2026-05-10,4,7,0
2026-05-11,4,7,0
2026-05-12,4,7,0
2026-05-13,4,7,0
2026-05-14,4,7,0
2026-05-15,4,7,0
2026-05-16,6,6,1
2026-05-17,6,6,0
2026-05-18,6,6,0
2026-05-19,6,7,0
2026-05-20,6,7,1
2026-05-21,6,7,2
2026-05-22,6,7,0
2026-05-23,7,6,0
2026-05-24,7,6,2
2026-05-25,7,6,0
